"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 27 02:19:00 GMT 2024","Tue Feb 27 02:19:00 GMT 2024","21","","Ranking Mechanism Test","","Ranking Mechanism Test","Insert new website to database, verify if statusText return Created","Insert new website to database, verify if statusText return Created",""
"passed","Tue Feb 27 02:18:59 GMT 2024","Tue Feb 27 02:18:59 GMT 2024","24","","Ranking Mechanism Test","","Ranking Mechanism Test","Check website date value","Check website date value",""
"passed","Tue Feb 27 02:19:06 GMT 2024","Tue Feb 27 02:19:06 GMT 2024","733","","Test Goggle UI","","Test Goggle UI","Upload text file and verified if it uploaded successfully","Upload text file and verified if it uploaded successfully",""
"passed","Tue Feb 27 02:18:59 GMT 2024","Tue Feb 27 02:18:59 GMT 2024","39","","Ranking Mechanism Test","","Ranking Mechanism Test","Same keyword appears in more than 1 product","Same keyword appears in more than 1 product",""
"passed","Tue Feb 27 02:18:59 GMT 2024","Tue Feb 27 02:18:59 GMT 2024","42","","Ranking Mechanism Test","","Ranking Mechanism Test","Update exist website with a reference link","Update exist website with a reference link",""
"passed","Tue Feb 27 02:19:05 GMT 2024","Tue Feb 27 02:19:06 GMT 2024","279","","Test Goggle UI","","Test Goggle UI","Compare CPU value of Chrome with expected CPU value","Compare CPU value of Chrome with expected CPU value",""
"passed","Tue Feb 27 02:19:00 GMT 2024","Tue Feb 27 02:19:00 GMT 2024","26","","Ranking Mechanism Test","","Ranking Mechanism Test","Insert new product to database, verify if statusText return Created","Insert new product to database, verify if statusText return Created",""
"passed","Tue Feb 27 02:19:04 GMT 2024","Tue Feb 27 02:19:05 GMT 2024","1019","","Test Goggle UI","","Test Goggle UI","Inserts new inputs and check returned outputs","Inserts new inputs and check returned outputs",""
"passed","Tue Feb 27 02:19:09 GMT 2024","Tue Feb 27 02:19:09 GMT 2024","484","","Test Goggle UI","","Test Goggle UI","Click on JavaScript alerts buttons and verify alert message","Click on JavaScript alerts buttons and verify alert message",""
"passed","Tue Feb 27 02:19:00 GMT 2024","Tue Feb 27 02:19:00 GMT 2024","12","","Ranking Mechanism Test","","Ranking Mechanism Test","Check if total grade for site+product is higher then second total grade site+product","Check if total grade for site+product is higher then second total grade site+product",""
"passed","Tue Feb 27 02:19:06 GMT 2024","Tue Feb 27 02:19:09 GMT 2024","2530","","Test Goggle UI","","Test Goggle UI","Make login with wrong data, correct data, verify text, and logout","Make login with wrong data, correct data, verify text, and logout",""
"passed","Tue Feb 27 02:19:00 GMT 2024","Tue Feb 27 02:19:00 GMT 2024","25","","Ranking Mechanism Test","","Ranking Mechanism Test","Remove one product from DB","Remove one product from DB",""
